million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
string,n. 线，弦，细绳；一串，一行
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
carrier,n.  载体；运送者；带菌者；货架
horizon,n.  地平线；视野；眼界；范围
impetus,n. 动力；促进；冲力
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
anecdote,n. 轶事；奇闻；秘史
educator,n. 教育家；教育工作者；教师
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
paradise,"n. 天堂
至福境地"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
shortcut,n. 捷径；被切短的东西
bandwidth,n.  带宽； 频带宽度
coalition,n. 联合；结合，合并
developer,n. 开发者； 显影剂
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
discomfort,"n. 不适，不安；不便之处
vt. 使……不舒服；使……不安"
enterprise,n. 企业；事业；进取心；事业心
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
membership,n. 资格；成员资格；会员身份
possession,n. 拥有；财产；领地；自制；着迷
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
instruction,n. 指令，命令；指示；教导；用法说明
appreciation,n. 欣赏，鉴别；增值；感谢
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
incur,vt. 招致，引发；蒙受
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
awaken,"vt. 唤醒；唤起；使…意识到
vi. 觉醒；醒来；意识到"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
enforce,vt. 实施，执行；强迫，强制
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
preside,"vi. 主持，担任会议主席
vt. 管理"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
construct,"n. 构想，概念
vt. 建造，构造；创立"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
faulty,adj. 有错误的；有缺点的
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
fiscal,adj. 会计的，财政的；国库的
uneven,adj. 不均匀的；不平坦的； 奇数的
fragile,adj. 脆的；易碎的
genuine,adj. 真实的，真正的；诚恳的
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
connected,"v. 连接（connect的过去式）
adj.  连接的；有联系的；连贯的"
continual,adj. 持续不断的；频繁的
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
comparable,adj. 可比较的；比得上的
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
incidentally,adv. 顺便；偶然地；附带地
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
wager,"n. 赌注；赌博；赌物
vi. 打赌
vt. 下赌注"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
worldwide,"adj. 全世界的
adv. 在世界各地"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
pop,abbr. 卖点广告（Point of Purchase）
whichever,"adj. 无论哪个；无论哪些
pron. 任何一个；无论哪个"
versus,prep. 对；与...相对；对抗
amongst,prep. 在…之中；在…当中（等于among）
ego,n. 自我；自负；自我意识
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
aide,n. 助手；副官；侍从武官
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
norm,n. 标准，规范
plea,n. 恳求，请求；辩解，辩护；借口，托辞
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
zeal,n. 热情；热心；热诚
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
gloom,n. 昏暗；阴暗
greed,n. 贪婪，贪心
theft,n. 盗窃；偷；赃物
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
bidder,n. 投标人；出价人；命令者
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
foodie,n. 美食家；吃货
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
grader,n. 分级机；分类机；（美）（中小学的）…年级学生
issuer,n. 发行人
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
outcry,n. 强烈抗议；大声疾呼；尖叫；倒彩
picker,n. 采摘者；采摘机；啄者；挖掘者
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
prince,n. 王子，国君；亲王；贵族
regime,n. 政权，政体；社会制度；管理体制
rigour,n. 严格；严厉；苛刻；精确
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
seeker,n. 探求者；搜查人
server,n. 发球员；服伺者；服勤者；伺候者
slipup,n. 错误，失败，不幸
timing,"n. 定时；调速；时间选择
v. 为…安排时间；测定…的时间（time的ing形式）"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
trader,n. 交易者；商人；商船
advisor,n. 顾问；指导教师；劝告者
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
bravery,n. 勇敢；勇气
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
clarity,n. 清楚，明晰；透明
decider,n. 决定者，裁决者；决胜局
dentist,"n. 牙科医生
牙医诊所"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
dignity,n. 尊严；高贵
doubter,n. 抱怀疑态度的人；不信宗教的人；怀疑论者
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
grownup, 成人
haircut,n. 理发；发型
illness,n. 病；疾病
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
loyalty,n. 忠诚；忠心；忠实；忠于…感情
mankind,n. 人类；男性
mastery,n. 掌握；精通；优势；征服；统治权
misdeed,n. 罪行；犯罪
peasant,n. 农民；乡下人
plumber,n. 水管工；堵漏人员
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
refusal,n. 拒绝；优先取舍权；推却；取舍权
skipper,"n. 队长；船长；机长
vt. 带领；作…的船长（或机长）"
spammer,n. 垃圾邮件制作者
surgeon,n. 外科医生
tagline,n. 标语；品牌口号
trainee,n. 练习生，实习生；受训者；新兵；训练中的动物
tuition,n. 学费；讲授
vacancy,n. 空缺；空位；空白；空虚
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
walkway,n. 通道， 走道
workday,"n. 工作日
adj. 日常的，工作日的；平凡的"
workout,n. 锻炼；练习；试验
attendee,n. 出席者；在场者
bellyful,n. 满腹；满肚子；过量
boldness,n. 大胆；冒失；显著
checkout,n. 检验；签出；结账台；检出
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
civility,n. 礼貌；礼仪；端庄
colonist,"n. 殖民者；殖民地居民；移民
adj. 殖民主义者的；奉行殖民主义的"
critique,"n. 批评；评论文章
vt. 批判；评论"
donation,n. 捐款，捐赠物；捐赠
emigrant,"n. 移民；侨民
adj. 移民的；移居的"
follower,n. 追随者；信徒；属下
fondness,n. 爱好；喜爱
fruition,n. 完成，成就；结果实
gatherer,n. 采集者，收集器
humanist,"n. 人道主义者；人类学者，人文学者；人文主义者
adj. 人文主义的；人道主义的"
hysteria,n. 癔病，歇斯底里；不正常的兴奋
importer,n. 进口商；输入者
inaction,n. 不活动；迟钝
invasion,n. 入侵，侵略；侵袭；侵犯
jealousy,n. 嫉妒；猜忌；戒备
lawmaker,n. 立法者
lecturer,n. 讲师，演讲者
maturity,n. 成熟；到期；完备
mealtime,n. 进餐时间，吃饭时间
mechanic,"n. 技工，机修工
adj. 手工的"
Medicare,
morality,n. 道德；品行，美德
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
novelist,n. 小说家
optimist,n. 乐观主义者；乐天派
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
overview,n.  综述；概观
populace,n. 大众；平民；人口
prestige,n. 威望，声望；声誉
promoter,n. 促进者；发起人；催化剂；促进剂；启动子
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
prudence,n. 审慎
pushback,n. 飞机推迟起飞
reviewer,n. 评论者，评论家
revision,n.  修正；复习；修订本
salesman,n. 推销员；售货员
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
scrutiny,n. 详细审查；监视；细看；选票复查
solitude,n. 孤独；隐居；荒僻的地方
stirring,"v. 激起（stir的ing形式）
adj. 激动人心的；活跃的，活泼的；忙碌的"
stroller,n. 散步者；流浪者；（美）折叠式婴儿车；巡回演出的演员
supplier,n. 供应厂商，供应国；供应者
surveyor,n. 测量员；检验员
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
tightwad,n. 吝啬鬼；守财奴
treasury,n. 国库，金库；财政部；宝库
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
validity,n.  有效性；正确；正确性
vocation,n. 职业；天职；天命；神召
waitlist, 把…登入申请人名单
workflow,n. 工作流，工作流程
workload,n. 工作量
workmate,n. 同事；工友
applicant,n. 申请人，申请者；请求者
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
arrogance,n. 自大；傲慢态度
assertion,n. 断言，声明；主张，要求；坚持；认定
astronaut,n. 宇航员，航天员；太空旅行者
