data,n. 数据（datum的复数）；资料
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
explicit,adj. 明确的；清楚的；直率的；详述的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
prominent,adj. 突出的，显著的；杰出的；卓越的
incomplete,adj. 不完全的； 不完备的
autonomous,adj. 自治的；自主的；自发的
incredible,adj. 难以置信的，惊人的
exceptional,"n. 超常的学生
adj. 异常的，例外的"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
deliberately,adv. 故意地；谨慎地；慎重地
fundamentally,adv. 根本地，从根本上；基础地
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
distrust,"n. 不信任
vt. 不信任
怀疑"
critique,"n. 批评；评论文章
vt. 批判；评论"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
dean,n. 院长；系主任；教务长；主持牧师
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
gloom,n. 昏暗；阴暗
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
tribe,n. 部落；族；宗族；一伙
voter,n. 选举人，投票人；有投票权者
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
cliché,
deputy,"n. 代理人，代表
adj. 副的；代理的"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
purist,n. 纯化论者，力求纯化的人
sitter,n. 代人临时看管小孩的人；当模特儿的人；坐着的人
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
thrift,n. 节俭；节约； 海石竹
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
auditor,n. 审计员；听者；旁听生
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
cruelty,n. 残酷；残忍；残酷的行为
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
destiny,n. 命运，定数，天命
hygiene,n. 卫生；卫生学；保健法
loyalty,n. 忠诚；忠心；忠实；忠于…感情
mindset,n. 心态；倾向；习惯；精神状态
modesty,n. 谦逊；质朴；稳重
pastime,n. 娱乐，消遣
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
retiree,n. （美）退休人员；歇业者
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
distaste,"n. 厌恶；讨厌
vt. 厌恶；不喜欢
vi. 不喜欢"
earnings,n. 收入
freshman,n. 新手，生手；大学一年级学生
hardship,n. 困苦；苦难；艰难险阻
ideology,n. 意识形态；思想意识；观念学
laziness,n. 怠惰；无精打采
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
nobility,n. 贵族；高贵；高尚
omission,n. 疏忽，遗漏；省略；冗长
optimist,n. 乐观主义者；乐天派
sedition,n. 暴动；煽动性的言论或行为；妨害治安
supplier,n. 供应厂商，供应国；供应者
citizenry,n. 市民；公民
composure,n. 镇静；沉着
craftsman,n. 工匠；手艺人；技工
geologist,n. 地质学家，地质学者
gratitude,n. 感谢（的心情）；感激
humankind,n. 人类（总称）
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
paternity,n. 父权；父系；父系后裔
pessimism,n. 悲观，悲观情绪；厌世主义
spymaster,n. 间谍组织的首脑
statesman,n. 政治家；国务活动家
viewpoint,n. 观点，看法；视角
worldview,n. 世界观
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
attachment,n. 附件；依恋；连接物；扣押财产
attendance,n. 出席；到场；出席人数；考勤
compliance,n. 顺从，服从；承诺
excellence,n. 优秀；美德；长处
impatience,n. 急躁；无耐心
inspection,n. 视察，检查
legislator,n. 立法者
parenthood,n. 亲子关系；父母身份
respondent,"n.  被告；应答者
adj. 回答的；应答的"
wholesaler,n. 批发商
celebration,n. 庆典，庆祝会；庆祝；颂扬
concertgoer,n. 常去听音乐会者
delinquency,n. 行为不良，违法犯罪；失职，怠工
demographer,n.  人口统计学家，人口学家
entitlement,n. 权利；津贴
humiliation,n. 丢脸，耻辱；蒙羞；谦卑
indignation,n. 愤慨；愤怒；义愤
interviewer,n. 采访者；会见者；面谈者；进行面试者
malpractice,n. 玩忽职守；不法行为；治疗不当
prosecution,n. 起诉，检举；进行；经营
rationalist,n. 理性主义者，唯理主义者
anticipation,n. 希望；预感；先发制人；预支
cautiousness,n. 谨慎；小心
decisiveness,n. 果断
imprisonment,n. 监禁，关押；坐牢；下狱
practitioner,n. 开业者，从业者，执业医生
registration,n. 登记；注册；挂号
spokesperson,n. 发言人；代言人
superstition,n. 迷信
technologist,n. 技术专家；工艺学家
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
sonar,n. 声纳；声波定位仪（等于asdic）
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
cosmos,n. 宇宙；和谐；秩序；大波斯菊
empire,n. 帝国；帝王统治，君权
engine,n. 引擎，发动机；机车，火车头；工具
fridge,n. 电冰箱
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
breadth,n. 宽度，幅度；宽宏
density,n. 密度
dioxide,n. 二氧化物
grocery,"n. 食品杂货店
食品杂货"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
appendix,n. 附录；阑尾；附加物
boundary,n. 边界；范围；分界线
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
deadline,n. 截止期限，最后期限
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
medicare,n. （美国） 国家老年人医疗保险制度
obstacle,n. 障碍，干扰；妨害物
organism,n. 有机体；生物体；微生物
revision,n.  修正；复习；修订本
robotics,n. 机器人学
adjective,"n. 形容词
adj. 形容词的；从属的"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
captivity,n. 囚禁；被关
courtyard,n. 庭院，院子；天井
ecosystem,n. 生态系统
intricacy,n. 错综，复杂；难以理解
inventory,n. 存货，存货清单；详细目录；财产清册
playhouse,n. 剧场；玩具房屋；儿童游戏室
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
recession,n. 衰退；不景气；后退；凹处
shipwreck,"n. 海难；遇难船
vt. 使失事；使毁灭；使失败"
automobile,"n. 汽车
vt. 驾驶汽车
"
belongings,n.  财产，所有物；亲戚
cyberspace,n. 网络空间；赛博空间
extinction,n. 灭绝；消失；消灭；废止
hypothesis,n. 假设
insecurity,n. 不安全；不牢靠；无把握；心神不定
manuscript,"n.  手稿；原稿
adj. 手写的"
newsletter,n. 时事通讯
obligation,n. 义务；职责；债务
regularity,n. 规则性；整齐；正规；匀称
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
coincidence,n. 巧合；一致；同时发生
consumerism,n. 保护消费者利益运动；用户至上主义
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
determinism,n.  决定论
feasibility,n. 可行性；可能性
unification,n. 统一；一致；联合
acceleration,n. 加速，促进； 加速度
headquarters,n. 总部；指挥部；司令部
modification,n. 修改，修正；改变
accessibility,n. 易接近；可亲；可以得到
autobiography,n. 自传；自传文学
correspondence,n. 通信；一致；相当
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
sake,n. 目的；利益；理由；日本米酒
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
