pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
comprehend,vt. 理解；包含；由…组成
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
dense,adj. 稠密的；浓厚的；愚钝的
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
ethnic,adj. 种族的；人种的
obvious,adj. 明显的；显著的；平淡无奇的
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
overdue,adj. 过期的；迟到的；未兑的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
embarrassing,adj. 使人尴尬的；令人为难的
likewise,adv. 同样地；也
meanwhile,"adv. 同时，其间
n. 其间，其时"
furthermore,adv. 此外；而且
undoubtedly,adv. 确实地，毋庸置疑的
necessity,n. 需要；必然性；必需品
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
trait,n. 特性，特点；品质；少许
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
regime,n. 政权，政体；社会制度；管理体制
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
entity,n. 实体；存在；本质
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
destiny,n. 命运，定数，天命
monarchy,n. 君主政体；君主国；君主政治
doctrine,n. 主义；学说；教义；信条
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
manuscript,"n.  手稿；原稿
adj. 手写的"
aristocrat,n. 贵族
predecessor,n. 前任，前辈
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
allot,vt. 分配；拨给；分派
unfold,"vi. 展开；显露
vt. 打开；呈现"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
ascribe,vt. 归因于；归咎于
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
conspire,"vi. 共谋；协力
vt.  密谋策划"
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
trivial,adj. 不重要的，琐碎的；琐细的
bizarre,adj. 奇异的（指态度，容貌，款式等）
reader,n. 读者；阅读器；读物
monarch,n. 君主，帝王；最高统治者
humanity,n. 人类；人道；仁慈；人文学科
recorder,n. 录音机；记录器；记录员；八孔直笛
correspondence,n. 通信；一致；相当
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
genetics,n. 遗传学
residence,n. 住宅，住处；居住
capitalism,n. 资本主义
unity,n. 团结；一致；联合；个体
accuracy,n.  精确度，准确性
reliance,n. 信赖；信心；受信赖的人或物
explosion,n. 爆炸；爆发；激增
inference,n. 推理；推论；推断
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
conspiracy,n. 阴谋；共谋；阴谋集团
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
establishment,n. 确立，制定；公司；设施
simplify,vt. 简化；使单纯；使简易
naval,adj. 海军的；军舰的
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
democratic,adj. 民主的；民主政治的；大众的
additional,adj. 附加的，额外的
unexpected,adj. 意外的，想不到的
comparable,adj. 可比较的；比得上的
successive,adj. 连续的；继承的；依次的；接替的
statistical,adj. 统计的；统计学的
largely,adv. 主要地；大部分；大量地
scarcely,adv. 几乎不，简直不；简直没有
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
requirement,n. 要求；必要条件；必需品
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
republican,"n. 共和党人
adj. 共和党的
共和的"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
extraction,n. 取出；抽出；拔出；抽出物；出身
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
indicate,vt. 表明；指出；预示；象征
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
novel,"adj. 新奇的；异常的
n. 小说"
construct,"n. 构想，概念
vt. 建造，构造；创立"
dearth,n. 缺乏；饥馑；粮食不足
potash,n.  碳酸钾；草碱；苛性钾；钾化合物
granny,n. 奶奶；外婆；婆婆妈妈的人
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
mouthpiece,n. 喉舌；代言人；送话口
transcendence,n. 超越；卓越；超然存在
infest,vt. 骚扰；寄生于；大批出没；大批滋生
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
genome-wide, 整组基因；全基因组；基因组范围的
aristocratic,adj. 贵族的；贵族政治的；有贵族气派的
day-job,全日性工作
newsroom,n. 新闻编辑部；报刊阅览室
Dutchman,n. 荷兰人；荷兰船
Irishman,n. 爱尔兰人
shipload,n. 船货；船舶运载量
workload,n. 工作量
Frenchman,n. 法国人
Englishman,n. 英国人
pocketbook,n. 钱包；笔记本；经济来源；皮夹
storehouse,n. 仓库，贮藏库；宝库
line-drawing,素描；线条画
peer-reviewer, 审稿人；审查人
treasure-house,n. 宝库
problem-solving,"n. 解决问题；找出问题的答案
adj. 问题解决的"
editor-in-chief,n. 总编辑；总主笔
new-blown,a. 新开的
old-world,adj. 古代世界的，古时的；从前的，以前的
well-paid,adj. 待遇优厚的；收入高的
peer-review,n. 各领域专家互相评阅；同行评审；同业监督小组；同业互查组织
everlasting,adj. 永恒的；接连不断的
well-heeled,adj. 富有的；穿着考究的
voter,n. 选举人，投票人；有投票权者
kinship,n.  亲属关系，家属关系；亲密关系
traveler,n. 旅行者；旅客；旅行推销员（等于traveller）
weakness,n. 弱点；软弱；嗜好
arrestee,n. 被捕者
colonist,"n. 殖民者；殖民地居民；移民
adj. 殖民主义者的；奉行殖民主义的"
immunity,n. 免疫力；豁免权；免除
nobility,n. 贵族；高贵；高尚
economist,n. 经济学者；节俭的人
biologist,n. 生物学家
ex-editor,
adherence,n. 坚持；依附；忠诚
ethnicity,n. 种族划分
utterance,n. 表达；说话；说话方式
opposition,n. 反对；反对派；在野党；敌对
emigration,n. 移民；移民出境；移居外国
geneticist,n. 遗传学者
motivation,n. 动机；积极性；推动
statistician,n. 统计学家，统计员
cautiousness,n. 谨慎；小心
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
accountability,n. 有义务；有责任；可说明性
biostatistician,n. 生物统计学家
annals,n. 年报；编年史；年鉴
amendment,n. 修正案；改善；改正
protection,n. 保护；防卫；护照
methodology,n. 方法学，方法论
circulation,n. 流通，传播；循环；发行量
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
proportionality,n. 相称；均衡；比例性
reproducibility,n.  再现性
irreproducibility,非再生性
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
validity,n.  有效性；正确；正确性
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
richness,n. 丰富；富裕；肥沃；华美
retrieval,n. 检索；恢复；取回；拯救
inequality,n. 不平等；不同；不平均
projection,n. 投射；规划；突出；发射；推测
embodiment,n. 体现；化身；具体化
exploration,n. 探测；探究；踏勘
assimilation,n. 同化；吸收； 同化作用
accessibility,n. 易接近；可亲；可以得到
intrusiveness,n. 干涉性；侵扰性；侵入性
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
ineffectiveness,n. 无效；不起作用
reinterpretation,n. 重新解释
befriend,vt. 帮助；待人如友；扶助
polarise,vt. 极化（等于polarize）
reconstruct,vt. 重建；改造；修复；重现
coming,"n. 来到；到达
v. 来（come的ing形式）
adj. 即将到来的；接着的；前途有望的"
rising,"n. 上升；起床；造反
adj. 上升的；上涨的；新兴的
v. 上升（rise的ing形式）
adv. 接近"
unfair,adj. 不公平的，不公正的
varied,"v. 改变；使多样化（vary的过去式和过去分词形式）
adj. 多变的；各式各样的；杂色的"
immoral,adj. 不道德的；邪恶的；淫荡的
textual,adj. 本文的；按原文的
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
symbolic,adj. 象征的；符号的；使用符号的
majestic,adj. 庄严的；宏伟的
literate,"adj. 受过教育的；精通文学的
n. 学者"
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
timeless,adj. 永恒的；不受时间影响的；不合时宜的
unrelated,adj. 无关的，不相干的
pointless,adj. 无意义的；钝的；不尖的；不得要领的
unpopular,adj. 不流行的，不受欢迎的
traceable,adj. 起源于；可追踪的；可描绘的
uncharted,adj. 未知的；图上未标明的
undoubted,adj. 无疑的；确实的
biomedical,adj. 生物医学的
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
unreliable,adj. 不可靠的；靠不住的
burdensome,adj. 繁重的；累赘的；恼人的
disruptive,adj. 破坏的；分裂性的；制造混乱的
functional,adj. 功能的
geographic,adj. 地理的；地理学的
absolutist,n. 绝对论者；专制主义者
contextual,adj. 上下文的；前后关系的
unsettling,"adj. 使人不安的；（消息）扰乱的
v. 动乱不定；心绪不宁（unsettle的ing形式）"
foreseeable,adj. 可预知的；能预测的
discernable,adj. 可辨别的；可认识的
overcrowded,"adj. 过度拥挤的
v. 拥挤（overcrowd的过去分词）"
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
contributory,"n. 捐助者；贡献人
adj. 捐助的；贡献的；有助于…的"
controllable,adj. 可控制的；可管理的；能操纵的
hierarchical,adj. 分层的；等级体系的
indefensible,adj. 站不住脚的；不能防卫的；无辩护余地的
marginalized,"使边缘化
忽略
排斥(marginalize的过去式和过去分词)"
insignificant,adj. 无关紧要的
inexpressible,adj. 不可言传的；难以形容的；不能用语言表达的
non-political,非政治性的
unacknowledged,adj. 不被承认的，未公开承认的；未答复的
non-controversial,无争议的
overly,adv. 过度地；极度地
clearly,adv. 清晰地；明显地；无疑地；明净地
broadly,adv. 明显地；宽广地；概括地；露骨地；粗鄙地
ideally,adv. 理想地；观念上地
flexibly,adv. 灵活地；易曲地；柔软地；有弹性地
generally,adv. 通常；普遍地，一般地
primarily,adv. 首先；主要地，根本上
hopefully,adv. 有希望地，有前途地
inevitably,adv. 不可避免地；必然地
alarmingly,adv. 惊人地；让人担忧地
recklessly,adv. 鲁莽地；不顾一切地
unbearably,adv. 不堪忍受地；无法容忍地
considerably,adv. 相当地；非常地
biologically,adv. 生物学上，生物学地
unmercifully,"不仁慈地
残酷地"
statistically,adv. 统计地；统计学上
eighteenth,"num. 第十八；十八分之一
adj. 第十八的，第十八个的；十八分之一的"
seventeenth,"n. 第十七日；十七分之一
num. 第十七
adj. 第十七的，第十七个的；十七分之一的"
library,n. 图书馆，藏书室；文库
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
town,n. 城镇，市镇；市内商业区
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
London,n. 伦敦
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
factory,n. 工厂；制造厂；代理店
website,n. 网站（全球资讯网的主机站）
T-shirt,n. 短袖圆领汗衫
invention,n. 发明；发明物；虚构；发明才能
countryside,n. 农村，乡下；乡下的全体居民
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
