climate,n. 气候；风气；思潮；风土
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
greenhouse,"n. 温室
造成温室效应的"
application,n. 应用；申请；应用程序；敷用
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
event,n. 事件，大事；项目；结果
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
virtue,n. 美德；优点；贞操；功效
element,n. 元素；要素；原理；成分；自然环境
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
ecology,n. 生态学；社会生态学
shortage,n. 缺乏，缺少；不足
statistic,"n. 统计数值
adj. 统计的，统计学的"
frequency,n. 频率；频繁
department,n. 部；部门；系；科；局
publishing,"n. 出版；出版业
v. 出版；发行（publish的现在分词形式）；发表
adj. 出版的；出版业的"
adaptation,n. 适应；改编；改编本，改写本
resolution,n.  分辨率；决议；解决；决心
cite,vt. 引用；传讯；想起；表彰
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
imply,vt. 意味；暗示；隐含
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
defend,"vi. 保卫；防守
vt. 辩护；防护"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
establish,"vi. 植物定植
vt. 建立；创办；安置"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
visual,adj. 视觉的，视力的；栩栩如生的
available,adj. 可获得的；可购得的；可找到的；有空的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
widespread,adj. 普遍的，广泛的；分布广的
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
alongside,"prep. 在……旁边
adv. 在旁边"
dozen,"n. 十二个，一打
adj. 一打的"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
makeup,n. 化妆品；组成；补充；补考
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
feedback,n. 反馈；成果，资料；回复
hardship,n. 困苦；苦难；艰难险阻
freshman,n. 新手，生手；大学一年级学生
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
journalism,n. 新闻业，新闻工作；报章杂志
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
curriculum,"n. 课程
总课程"
conjunction,n. 结合； 连接词；同时发生
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
define,vt. 定义；使明确；规定
clothe,vt. 给…穿衣；覆盖；赋予
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
mislead,vt. 误导；带错
exclude,vt. 排除；排斥；拒绝接纳；逐出
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
condemn,vt. 谴责；判刑，定罪；声讨
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
distract,vt. 转移；分心
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
speculate,"vi. 推测；投机；思索
vt. 推断"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
dual,"n. 双数；双数词
adj. 双的；双重的"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
upward,"adj. 向上的；上升的
adv. 向上"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
unemployed,adj. 失业的；未被利用的
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
legacy,n. 遗赠，遗产
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
ideology,n. 意识形态；思想意识；观念学
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
preside,"vi. 主持，担任会议主席
vt. 管理"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
degrading,"adj. 可耻的；丧失体面的；不名誉的
v. 退化（degrade的ing形式）；减少；降低…的身份"
lucrative,adj. 有利可图的，赚钱的；合算的
intimidating,adj. 吓人的
unprecedented,adj. 空前的；无前例的
owner,n.  所有者；物主
lover,"n. 爱人，恋人；爱好者
n. 小三；第三者"
pursuit,n. 追赶，追求；职业，工作
arrival,n. 到来；到达；到达者
recovery,n. 恢复，复原；痊愈；重获
equation,n. 方程式，等式；相等； 反应式
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
invitation,n. 邀请；引诱；请帖；邀请函
expenditure,n. 支出，花费；经费，消费额
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
costly,adj. 昂贵的；代价高的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
inclusive,adj. 包括的，包含的
electrical,adj. 有关电的；电气科学的
successive,adj. 连续的；继承的；依次的；接替的
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
wholly,adv. 完全地；全部；统统
requirement,n. 要求；必要条件；必需品
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
expose,vt. 揭露，揭发；使曝光；显示
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
wired,"adj. 接有电线的；以铁丝围起的；极其兴奋的
v. 以金属丝装；打电报给（wire的过去分词）"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
ethos,n. 民族精神；气质；社会思潮
millennial,adj. 一千年的；千禧年的
pluck,"n. 勇气；内脏；快而猛的拉
vt. 摘；拔；扯
vi. 拉；拽；扯"
grapple,"n. 抓住；格斗
vi. 抓住；格斗；抓斗机
vt. 抓住；与…格斗"
flustered,"adj. 慌张的；激动不安的
v. 慌张；混乱（fluster的过去式及过去分词形式）"
upkeep,n. 维持；维修费；保养
run-up,n. 助跑；预备阶段；抬高；急剧增长
parkrun,
lay-off,n. 临时解雇期； 失业期
netball,n. 类似篮球的球赛
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
wildfire,n. 火灾；磷火，鬼火；散布极快的事物
mealtime,n. 进餐时间，吃饭时间
wasteland,n. 荒地，不毛之地；未开垦地，荒漠；（精神或文化上的）贫乏
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
worktable,n. 工作台；缝纫桌
bleed-over,
high-school,"na. 中学；大学预科
 美中学；公立中学；高职生交流园地"
first-timer,n. 新手
food-testing,
mental-health, 心理健康
work-placement,
community-college,"un. 地区学院
 社区学院；社区大学；两年制的社区大学"
upper-middle-class,上中产阶级
long-term,"adj. 长期的
从长远来看"
grassroots,"n. 草根；基础
adj. 基层的；草根的；乡村的"
well-paid,adj. 待遇优厚的；收入高的
brand new,"adj. 全新的；崭新的
 新约神话；全新品；焕然一新"
mid-skill, 中等技术
work-free,
fire-prone,容易引发火灾的
first-year,第一年的
off-campus,在校外；不住校
puffed-out,na. 喘着气说；(烟)噗噗噗地喷
fast-moving,adj. 移动迅速的
middle-aged,adj. 中年的；具有中年人特点的；适合于中年人的
record-high, 创历史新高；最高纪录；破纪录的高点
mother-child,
family-owned, 家族把持；家族所有；家族峐业型
high-skilled,高技能的
lower-hazard,
fire-fighting,adj. 消防的
wildfire-free,
made-in-Mexico,
poorly-educated, 教育；教育程度低
maker,n. 制造者；造物主；出期票人
boomer,n. 生育高峰中出生的人；赶往新兴地区安家的人；发出隆隆声者；发育完全的雄袋鼠
runner,n. 跑步者；走私者；推销员；送信人
bidder,n. 投标人；出价人；命令者
unease,n. 不安；不舒服
elitism,n. 精英主义；杰出人物统治论
dullness,n. 迟钝，钝度
lecturer,n. 讲师，演讲者
Olympiad,
mortality,n. 死亡数，死亡率；必死性，必死的命运
opposition,n. 反对；反对派；在野党；敌对
competitor,n. 竞争者，对手
uncertainty,n. 不确定，不可靠
acclimation,n. 适应环境（气候、水土等）
transformer,n.  变压器；促使变化的人
instability,n. 不稳定（性）；基础薄弱；不安定
outsourcing,n. 外包；外购；外部采办
redirection,n. 重寄；改道；转移呼叫
participation,n. 参与；分享；参股
interrelation,n. 相互关系
misconception,n. 误解；错觉；错误想法
retrospection,n. 回顾；反省；追忆
